"Carimbo de data/hora","Você utiliza o estacionamento da UFABC?","Em qual campus você estaciona?","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Manhã]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Tarde]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Noite]","Em qual horário de chegada você encontra maior dificuldade em estacionar?","Em média, quanto tempo você aguarda na fila do estacionamento?","Você acha que o seu tempo de espera poderia ser reduzido com alguma melhoria no controle de vagas?","Você se sente seguro estacionando fora da faculdade?","Quais informações sobre o estacionamento da UFABC você gostaria ter em mãos, em um aplicativo?","Adicione sugestões e comentários",""
"2019/07/10 9:38:19 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Segunda;Quarta","Segunda;Terça;Quarta;Sexta","20:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:43:10 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:40","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:55:56 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 10:04:51 PM GMT-3","Sim","UFABC - Santo André","Quarta;Sexta","","","10:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 10:21:33 PM GMT-3","Sim","UFABC - Santo André","Terça","Terça","Terça","18:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","É importante valorizar o bom trabalho dos funcionários que ficam na portaria da faculdade monitorando as vagas que restam. Mas acho bem legal a idéia até como uma forma de auxiliar e aperfeiçoar o trabalho deles.",""
"2019/07/10 10:29:57 PM GMT-3","Sim","UFABC - Santo André","Terça;Quinta","Terça;Quinta","","10:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 10:59:37 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 11:07:38 PM GMT-3","Sim","UFABC - Santo André","","Terça;Quarta;Quinta","Terça;Sexta","14:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:12:31 PM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Quarta;Quinta;Sexta","15:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Os maiores picos de fila são quando as pessoas chegam do estágio, pois a maioria sai às 15h, assim chegamos 15h20 - 15h30 ou só depois das 16h na UFABC, muitos TAs saem as 16h, é visível que o estacionamento está cheio de vagas, mas o de alunos lotado. Liberar duas fileiras inteiras já melhoraria muito a situação, pois as 16h a fila já fica mais curta pois algumas aulas acabam nesse horário. Liberar as vagas só 17h30 não faz sentido.",""
"2019/07/10 11:15:35 PM GMT-3","Sim","UFABC - Santo André","","","Terça;Quarta;Quinta;Sexta","18:45","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:19:18 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Terça","Terça","18:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Não tive problema para estacionar em São Bernardo, pois uso em horários fora de pico, mas quando saio sempre a vaga é ocupada instantaneamente.",""
"2019/07/10 11:26:23 PM GMT-3","Sim","UFABC - Santo André","Segunda;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 11:27:44 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Sexta","19:00","Entre 30 min e 1 hora","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:39:51 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 11:46:42 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:52:09 PM GMT-3","Sim","UFABC - Santo André","","Sexta","","16:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/11 12:23:57 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","17:20","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 12:24:50 AM GMT-3","Sim","UFABC - São Bernardo do Campo","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","","08:30","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/11 1:36:27 AM GMT-3","Sim","UFABC - Santo André","Segunda","Segunda","Segunda","02:05","Mais de 1 hora","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 2:28:55 AM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","","16:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 2:55:37 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus","",""
"2019/07/11 3:33:25 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 3:37:58 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 5:56:48 AM GMT-3","Sim","UFABC - Santo André","","","","","Entre 15 e 30 min","Não","","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/11 6:11:10 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","Terça;Quinta","","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 6:47:52 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 6:54:48 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/11 6:58:09 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:06:00 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:09:17 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Quarta;Quinta","19:00","Entre 0 e 5 min","Não","Sim","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/11 7:32:56 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:41:57 AM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","16:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 7:44:56 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Quarta","10:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 7:50:43 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 7:51:07 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta","17:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 7:52:33 AM GMT-3","Sim","UFABC - São Bernardo do Campo","Terça;Quinta","Quinta","","08:10","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 8:12:51 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 8:13:37 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 8:30:48 AM GMT-3","Sim","UFABC - Santo André","Segunda;Quarta;Quinta;Sexta","Segunda;Quarta;Quinta;Sexta","","10:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/11 8:33:52 AM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 9:11:11 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Terça;Quinta","","10:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 9:18:40 AM GMT-3","Sim","UFABC - São Bernardo do Campo","Segunda;Terça;Quarta;Quinta;Sexta","Quinta","","","Entre 0 e 5 min","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/11 9:27:41 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Terça;Quarta;Quinta","Segunda;Terça;Quarta;Quinta;Sexta","16:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Melhor que um app seria a faculdade liberar todas as vagas de fora, ou pelo menos metade delas, já que nem isso libera",""
"2019/07/11 9:44:47 AM GMT-3","Sim","UFABC - Santo André","","Segunda;Quarta","Segunda;Terça;Quarta;Quinta;Sexta","14:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 10:15:30 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Quarta;Sexta","18:30","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 10:57:46 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","","","12:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 11:01:27 AM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 11:22:34 AM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","","08:00","Entre 0 e 5 min","Não","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 12:13:46 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 12:31:17 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 3:57:25 PM GMT-3","Sim","UFABC - Santo André","Quarta;Sexta","Quarta;Sexta","Quarta;Sexta","16:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real","",""
"2019/07/11 4:49:23 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 4:50:10 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","","","10:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 5:12:42 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/11 5:53:16 PM GMT-3","Sim","UFABC - Santo André","Terça;Quarta;Quinta;Sexta","Quarta;Quinta","","15:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento","Acho interessante conversar com a UFABC em relação ao aumento do numero de vagas para alunos, principalmente nos periodos da tarde (onde é possível perceber que nas vagas reservadas pra entrada da Oratório não estão completamente preenchidas)",""
"2019/07/11 6:42:34 PM GMT-3","Sim","UFABC - Santo André","Quinta;Sexta;Sábado","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","14:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/13 2:26:39 PM GMT-3","Sim","UFABC - Santo André","","","Sexta","17:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/13 3:20:45 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/13 7:11:31 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""